name	value
North Dakota	2.8
Nebraska    3.0
South Dakota	3.1
New Hampshire	3.4
Hawaii	3.6
Utah	3.6
Vermont	3.6
Minnesota	3.7
Iowa	3.8
Colorado    3.9
Idaho   4.1
Kansas  4.2
Montana 4.2
Wyoming 4.3
Maine   4.4
Oklahoma    4.4
Texas   4.4
Virginia    4.5
Wisconsin   4.5
Indiana 4.8
Massachusetts   4.8
Delaware    4.9
Ohio    4.9
Arkansas    5.0
Missouri    5.0
Maryland    5.1
Kentucky    5.3
New York    5.3
Pennsylvania    5.3
Michigan    5.4
Florida	5.5
Oregon  5.6
Tennessee   5.6
Washington  5.6
Connecticut 5.7
North Carolina  5.7
New Jersey  5.8
Georgia 6.0
Illinois    6.0
Rhode Island    6.0
South Carolina  6.0
Alabama 6.1
Arizona 6.1
California  6.2
Louisiana   6.3
Mississippi 6.4
Alaska  6.5
New Mexico  6.5
Nevada  6.7
West Virginia   6.7
District of Columbia    6.9
